work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_size
2024,SE,Data Scientist,114700,0,M
2024,SE,Machine Learning Engineer,245400,0,M
2024,SE,Machine Learning Engineer,139000,0,M
2024,SE,Data Analyst,108334,0,M
2024,SE,Data Analyst,59923,0,M
2024,SE,Data Scientist,249000,0,M
2024,SE,Data Scientist,216000,0,M
2024,SE,Data Engineer,241000,100,M
2024,SE,Data Engineer,172000,100,M
2024,MI,Machine Learning Engineer,223600,0,L
2024,MI,Machine Learning Engineer,115000,0,L
2024,SE,Data Analyst,150000,100,M
2024,SE,Data Analyst,120000,100,M
2024,SE,Data Engineer,235000,100,M
2024,SE,Data Engineer,210000,100,M
2024,SE,Machine Learning Engineer,270400,0,M
2024,SE,Machine Learning Engineer,145600,0,M
2024,MI,Machine Learning Engineer,158100,0,M
2024,MI,Machine Learning Engineer,138500,0,M
2024,SE,Machine Learning Engineer,188500,0,M
2024,SE,Machine Learning Engineer,165100,0,M
2024,SE,Machine Learning Engineer,250000,0,M
2024,SE,Machine Learning Engineer,180000,0,M
2024,SE,Machine Learning Engineer,160000,0,M
2024,SE,Machine Learning Engineer,130000,0,M
2024,SE,Data Engineer,115000,100,M
2024,SE,Data Engineer,100500,100,M
2024,SE,Data Engineer,185000,0,M
2024,SE,Data Engineer,160000,0,M
2024,SE,Data Analyst,172000,0,M
2024,SE,Data Analyst,101000,0,M
2024,MI,Data Engineer,145000,0,M
2024,MI,Data Engineer,95000,0,M
2024,SE,Data Analyst,165000,100,M
2024,SE,Data Scientist,267900,0,M
2024,SE,Data Scientist,234700,0,M
2024,SE,Machine Learning Engineer,297000,0,M
2024,SE,Machine Learning Engineer,168300,0,M
2024,MI,Data Scientist,110000,0,M
2024,MI,Data Scientist,92000,0,M
2024,SE,Data Scientist,200000,0,M
2024,SE,Data Scientist,172750,0,M
2024,SE,Data Engineer,250000,0,M
2024,SE,Data Engineer,141500,0,M
2024,SE,Data Engineer,209362,100,M
2024,SE,Data Engineer,182054,100,M
2024,SE,Data Scientist,226500,100,M
2024,SE,Data Scientist,110900,100,M
2024,SE,Data Engineer,130500,0,M
2024,SE,Data Engineer,96000,0,M
2024,SE,Data Engineer,150000,0,M
2024,SE,Data Engineer,130000,0,M
2024,SE,Data Engineer,150000,100,M
2024,SE,Data Engineer,90000,100,M
2024,MI,Machine Learning Engineer,245400,0,M
2024,MI,Machine Learning Engineer,139000,0,M
2024,MI,Data Scientist,200000,0,M
2024,MI,Data Scientist,140000,0,M
2024,SE,Data Scientist,180000,0,M
2024,SE,Data Scientist,162000,0,M
2024,SE,Data Engineer,145000,0,M
2024,SE,Data Engineer,115000,0,M
2024,SE,Machine Learning Engineer,250000,100,M
2024,SE,Machine Learning Engineer,185000,100,M
2024,SE,Machine Learning Engineer,245400,0,M
2024,SE,Machine Learning Engineer,139000,0,M
2024,SE,Data Engineer,250000,100,M
2024,SE,Data Engineer,185000,100,M
2024,SE,Machine Learning Engineer,270000,100,M
2024,SE,Machine Learning Engineer,229500,100,M
2024,SE,Data Analyst,144538,0,M
2024,SE,Data Analyst,96358,0,M
2024,MI,Data Scientist,130000,0,M
2024,MI,Data Scientist,100000,0,M
2024,SE,Data Scientist,264846,0,M
2024,SE,Data Scientist,143060,0,M
2024,MI,Data Scientist,172000,0,M
2024,MI,Data Scientist,75600,0,M
2024,MI,Data Scientist,158100,0,M
2024,MI,Data Scientist,138500,0,M
2024,SE,Data Scientist,283800,0,M
2024,SE,Data Scientist,234700,0,M
2024,SE,Data Engineer,220000,0,M
2024,SE,Data Engineer,96600,0,M
2024,SE,Data Analyst,118000,0,M
2024,SE,Data Analyst,100000,0,M
2024,MI,Data Scientist,162819,100,M
2024,MI,Data Scientist,95776,100,M
2024,MI,Data Engineer,135000,0,M
2024,MI,Data Engineer,100000,0,M
2024,SE,Machine Learning Engineer,190000,100,M
2024,SE,Machine Learning Engineer,140000,100,M
2024,MI,Data Scientist,177250,0,M
2024,MI,Data Scientist,125500,0,M
2024,SE,Data Engineer,140000,100,M
2024,SE,Data Engineer,55000,100,M
2024,SE,Data Analyst,150700,0,M
2024,SE,Data Analyst,87400,0,M
2024,SE,Data Engineer,180000,100,M
2024,SE,Data Engineer,160000,100,M
2024,SE,Data Engineer,213580,100,M
2024,SE,Data Engineer,173000,100,M
2024,SE,Data Engineer,159550,0,M
2024,SE,Data Engineer,113000,0,M
2024,SE,Data Analyst,200000,100,M
2024,SE,Data Analyst,168000,100,M
2024,SE,Data Analyst,180000,100,M
2024,SE,Data Analyst,140000,100,M
2024,SE,Data Analyst,150000,0,M
2024,SE,Data Analyst,130000,0,M
2024,SE,Data Engineer,173300,0,M
2024,SE,Data Engineer,98800,0,M
2024,SE,Data Analyst,204650,100,M
2024,SE,Data Analyst,123990,100,M
2024,MI,Data Analyst,95000,0,M
2024,MI,Data Analyst,75000,0,M
2024,SE,Data Scientist,194000,0,M
2024,SE,Data Scientist,122000,0,M
2024,SE,Data Scientist,155000,100,M
2024,SE,Data Scientist,120000,100,M
2024,SE,Machine Learning Engineer,210100,0,M
2024,SE,Machine Learning Engineer,210100,0,M
2024,MI,Data Scientist,149600,0,M
2024,MI,Data Scientist,90200,0,M
2024,MI,Data Analyst,83552,100,M
2024,MI,Data Analyst,49148,100,M
2024,SE,Data Engineer,223000,0,M
2024,SE,Data Engineer,190000,0,M
2024,MI,Data Engineer,116000,0,M
2024,MI,Data Engineer,97800,0,M
2024,SE,Data Scientist,174300,0,M
2024,SE,Data Scientist,145000,0,M
2024,SE,Data Engineer,175000,100,M
2024,SE,Data Engineer,161201,100,M
2024,SE,Data Engineer,202000,0,M
2024,SE,Data Engineer,180000,0,M
2024,SE,Data Analyst,148000,0,M
2024,SE,Data Analyst,125000,0,M
2024,SE,Machine Learning Engineer,250000,100,M
2024,SE,Machine Learning Engineer,195000,100,M
2024,SE,Data Engineer,223800,0,M
2024,SE,Data Engineer,172100,0,M
2024,SE,Data Scientist,210000,0,M
2024,SE,Data Scientist,160000,0,M
2024,SE,Machine Learning Engineer,212800,100,M
2024,SE,Machine Learning Engineer,177300,100,M
2024,SE,Data Scientist,238000,0,M
2024,SE,Data Scientist,158000,0,M
2024,MI,Data Scientist,115000,100,M
2024,MI,Data Scientist,85000,100,M
2024,SE,Data Scientist,227900,0,M
2024,SE,Data Scientist,126600,0,M
2024,SE,Data Analyst,179000,0,M
2024,SE,Data Analyst,112000,0,M
2024,SE,Data Scientist,221550,0,M
2024,SE,Data Scientist,143850,0,M
2024,MI,Data Analyst,92000,0,M
2024,MI,Data Analyst,82000,0,M
2024,SE,Data Scientist,260940,100,M
2024,SE,Data Scientist,158130,100,M
2024,SE,Data Analyst,204650,100,M
2024,SE,Data Analyst,123990,100,M
2024,SE,Machine Learning Engineer,142000,0,M
2024,SE,Data Engineer,105000,100,M
2024,SE,Data Engineer,75000,100,M
2024,MI,Machine Learning Engineer,247500,0,M
2024,MI,Machine Learning Engineer,172200,0,M
2024,MI,Data Analyst,152300,0,M
2024,MI,Data Analyst,76200,0,M
2024,MI,Data Engineer,214300,0,M
2024,MI,Data Engineer,108500,0,M
2024,SE,Machine Learning Engineer,195000,100,M
